Job,Tool,a,b,ns/op,memUsage
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,33749528,14254
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,35151280,14265
 14265BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,22659628,14250
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,21874038,14235
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,22213452,14224
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,23511892,14216
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,21648638,14208
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,23938641,14201
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,23171022,14193
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,21717058,14186
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,21552599,14177
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,22834362,14162
 14163BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,33647694,14191
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,32478559,14211
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,30172411,14242
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,28691222,14267
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29607909,14288
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29529286,14309
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29536240,14344
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29253110,14379
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,31283503,14401
BenchmarkGonomicsIntervalOverlap100_10k-13                         ,Gonomics8Worker,100,10000,29480633,14437
 14437BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,20472366,14421
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,20109121,14403
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,19896663,14386
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25768125,14372
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,26382799,14348
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25066749,14334
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25144170,14310
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25114098,14285
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,25176793,14271
BenchmarkBedtoolsIntervalOverlap100_10k-13                         ,Bedtools,100,10000,26685973,14251
 14251BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,92161957,14255
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,65267533,14259
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,65789105,14263
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,66743526,14267
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,64936162,14270
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,107732145,14279
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,59864927,14283
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,62945815,14287
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,56604920,14292
BenchmarkBedopsIntervalOverlap100_10k-13                           ,Bedops,100,10000,58217980,14296
 14296BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,37739146,14300
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,36623142,14301
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,39242126,14303
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,37073598,14303
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,36925158,14306
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,35010098,14307
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,37325296,14310
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,34692473,14311
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,39262803,14312
BenchmarkSingleThreadIntervalOverlap100_10k-13                     ,Gonomics1Worker,100,10000,38028291,14314
 14315BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,153717552,14319
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,137846966,14327
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,127339898,14331
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,129832455,14337
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,126793880,14347
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,133166146,14352
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,129152849,14356
BenchmarkGonomicsIntervalOverlap100_100k-13                        ,Gonomics8Worker,100,100000,140637672,14362
