Job,Tool,a,b,memUsage
BenchmarkGonomicsIntervalOverlapMem100_10mi-13         ,Gonomics4Worker,100,10000000,11802
 11808BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11808
BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11816
BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11823
BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11831
BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11835
BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11843
BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11850
BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11857
BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11863
BenchmarkSingleThreadIntervalOverlapMem100_10mi-13     ,Gonomics1Worker,100,10000000,11865
 11864BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11864
BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11864
BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11864
BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11863
BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11863
BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11862
BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11862
BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11862
BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11861
BenchmarkBedtoolsIntervalOverlapMem100_10mi-13         ,Bedtools,100,10000000,11861
 11861BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11854
